talent_id,talent_name,role,seniority,years_experience,primary_skill,location
T-0335,Synthetic Talent 0335,Data Analyst,Mid,5.1,Power BI,Remote
T-0336,Synthetic Talent 0336,Data Scientist,Senior,2.3,AWS,Accra
T-0337,Synthetic Talent 0337,BI Developer,Senior,5.2,Spark,Lagos
T-0338,Synthetic Talent 0338,ML Engineer,Senior,0.5,Spark,Abuja
T-0339,Synthetic Talent 0339,BI Developer,Mid,3.1,Machine Learning,Accra
T-0340,Synthetic Talent 0340,Data Analyst,Mid,6.0,Power BI,Port Harcourt
T-0341,Synthetic Talent 0341,Data Analyst,Lead,6.7,Databricks,Abuja
T-0342,Synthetic Talent 0342,AI Engineer,Senior,6.8,Machine Learning,Abuja
T-0343,Synthetic Talent 0343,Data Analyst,Senior,1.3,Python,Abuja
T-0344,Synthetic Talent 0344,Data Analyst,Lead,8.2,Spark,Port Harcourt
T-0345,Synthetic Talent 0345,Data Scientist,Senior,2.9,Python,Abuja
T-0346,Synthetic Talent 0346,BI Developer,Mid,7.5,Power BI,Remote
T-0347,Synthetic Talent 0347,Analytics Engineer,Senior,5.5,Spark,Port Harcourt
T-0348,Synthetic Talent 0348,Data Analyst,Junior,1.1,Python,Remote
T-0349,Synthetic Talent 0349,AI Engineer,Senior,4.5,SQL,Lagos
T-0350,Synthetic Talent 0350,AI Engineer,Lead,6.7,AWS,Remote
T-0351,Synthetic Talent 0351,AI Engineer,Mid,7.5,Machine Learning,Accra
T-0352,Synthetic Talent 0352,BI Developer,Mid,5.0,Spark,Lagos
T-0353,Synthetic Talent 0353,Data Engineer,Junior,10.4,NLP,Abuja
T-0354,Synthetic Talent 0354,BI Developer,Lead,8.7,Spark,Remote
T-0355,Synthetic Talent 0355,Data Scientist,Junior,4.7,Databricks,Remote
T-0356,Synthetic Talent 0356,AI Engineer,Junior,7.9,Power BI,Remote
T-0357,Synthetic Talent 0357,Analytics Engineer,Mid,11.7,Azure,Port Harcourt
T-0358,Synthetic Talent 0358,AI Engineer,Junior,11.8,Machine Learning,Remote
T-0359,Synthetic Talent 0359,Analytics Engineer,Mid,1.6,SQL,Remote
T-0360,Synthetic Talent 0360,Analytics Engineer,Mid,2.5,Databricks,Lagos
T-0361,Synthetic Talent 0361,Analytics Engineer,Mid,10.3,Spark,Remote
T-0362,Synthetic Talent 0362,AI Engineer,Junior,2.1,AWS,Port Harcourt
T-0363,Synthetic Talent 0363,AI Engineer,Junior,1.3,GCP,Lagos
T-0364,Synthetic Talent 0364,Data Analyst,Mid,3.9,GCP,Port Harcourt
T-0365,Synthetic Talent 0365,AI Engineer,Junior,6.8,SQL,Port Harcourt
T-0366,Synthetic Talent 0366,ML Engineer,Senior,5.2,NLP,Lagos
T-0367,Synthetic Talent 0367,Data Scientist,Mid,3.4,GCP,Accra
T-0368,Synthetic Talent 0368,ML Engineer,Mid,3.3,Databricks,Abuja
T-0369,Synthetic Talent 0369,BI Developer,Mid,3.2,AWS,Abuja
T-0370,Synthetic Talent 0370,BI Developer,Mid,2.7,GCP,Port Harcourt
T-0371,Synthetic Talent 0371,AI Engineer,Junior,12.8,AWS,Accra
T-0372,Synthetic Talent 0372,ML Engineer,Junior,6.5,NLP,Remote
T-0373,Synthetic Talent 0373,AI Engineer,Senior,8.3,NLP,Remote
T-0374,Synthetic Talent 0374,Data Scientist,Junior,3.9,Databricks,Abuja
T-0375,Synthetic Talent 0375,Analytics Engineer,Mid,4.9,Azure,Accra
T-0376,Synthetic Talent 0376,Analytics Engineer,Mid,3.2,Machine Learning,Accra
T-0377,Synthetic Talent 0377,Data Engineer,Mid,0.5,Spark,Port Harcourt
T-0378,Synthetic Talent 0378,Data Engineer,Mid,1.1,AWS,Port Harcourt
T-0379,Synthetic Talent 0379,Data Analyst,Senior,0.5,Machine Learning,Lagos
T-0380,Synthetic Talent 0380,Data Analyst,Senior,0.5,SQL,Remote
T-0381,Synthetic Talent 0381,ML Engineer,Mid,1.7,Machine Learning,Accra
T-0382,Synthetic Talent 0382,ML Engineer,Mid,9.7,SQL,Port Harcourt
T-0383,Synthetic Talent 0383,Data Engineer,Mid,5.4,Azure,Port Harcourt
T-0384,Synthetic Talent 0384,Data Scientist,Mid,9.6,AWS,Port Harcourt
T-0385,Synthetic Talent 0385,Analytics Engineer,Senior,6.8,AWS,Lagos
T-0386,Synthetic Talent 0386,Data Engineer,Mid,8.0,AWS,Remote
T-0387,Synthetic Talent 0387,Data Scientist,Mid,2.6,AWS,Remote
T-0388,Synthetic Talent 0388,Data Scientist,Lead,7.2,AWS,Accra
T-0389,Synthetic Talent 0389,ML Engineer,Junior,7.8,AWS,Accra
T-0390,Synthetic Talent 0390,Data Scientist,Mid,3.7,Azure,Port Harcourt
T-0391,Synthetic Talent 0391,AI Engineer,Senior,7.3,Machine Learning,Accra
T-0392,Synthetic Talent 0392,Data Scientist,Mid,7.3,Azure,Port Harcourt
T-0393,Synthetic Talent 0393,ML Engineer,Junior,3.7,GCP,Remote
T-0394,Synthetic Talent 0394,Data Scientist,Mid,1.9,NLP,Remote
T-0395,Synthetic Talent 0395,Data Engineer,Lead,1.7,Databricks,Accra
T-0396,Synthetic Talent 0396,Analytics Engineer,Junior,5.8,Python,Remote
T-0397,Synthetic Talent 0397,Data Engineer,Mid,6.5,Machine Learning,Lagos
T-0398,Synthetic Talent 0398,Data Scientist,Junior,3.0,Power BI,Lagos
T-0399,Synthetic Talent 0399,AI Engineer,Junior,5.6,Python,Port Harcourt
T-0400,Synthetic Talent 0400,BI Developer,Senior,7.3,Machine Learning,Port Harcourt
T-0401,Synthetic Talent 0401,Analytics Engineer,Mid,7.5,SQL,Remote
T-0402,Synthetic Talent 0402,BI Developer,Senior,10.5,NLP,Port Harcourt
T-0403,Synthetic Talent 0403,AI Engineer,Senior,9.6,Machine Learning,Port Harcourt
T-0404,Synthetic Talent 0404,ML Engineer,Senior,2.3,Databricks,Accra
T-0405,Synthetic Talent 0405,AI Engineer,Junior,10.9,GCP,Abuja
T-0406,Synthetic Talent 0406,Data Scientist,Senior,3.8,NLP,Port Harcourt
T-0407,Synthetic Talent 0407,ML Engineer,Senior,8.8,Python,Port Harcourt
T-0408,Synthetic Talent 0408,ML Engineer,Mid,5.7,NLP,Port Harcourt
T-0409,Synthetic Talent 0409,BI Developer,Senior,4.2,Python,Accra
T-0410,Synthetic Talent 0410,AI Engineer,Senior,0.5,Spark,Accra
T-0411,Synthetic Talent 0411,ML Engineer,Mid,5.0,Python,Port Harcourt
T-0412,Synthetic Talent 0412,Analytics Engineer,Lead,0.5,AWS,Port Harcourt
T-0413,Synthetic Talent 0413,Data Engineer,Mid,8.6,Machine Learning,Port Harcourt
T-0414,Synthetic Talent 0414,AI Engineer,Senior,10.4,Power BI,Lagos
T-0415,Synthetic Talent 0415,ML Engineer,Lead,2.9,NLP,Port Harcourt
T-0416,Synthetic Talent 0416,ML Engineer,Mid,6.5,GCP,Abuja
T-0417,Synthetic Talent 0417,AI Engineer,Senior,3.2,GCP,Lagos
T-0418,Synthetic Talent 0418,Analytics Engineer,Mid,3.5,Databricks,Lagos
T-0419,Synthetic Talent 0419,Data Analyst,Senior,8.0,AWS,Port Harcourt
T-0420,Synthetic Talent 0420,Data Scientist,Senior,5.4,Spark,Lagos
T-0421,Synthetic Talent 0421,Data Engineer,Mid,11.1,Databricks,Remote
T-0422,Synthetic Talent 0422,AI Engineer,Mid,4.0,Azure,Port Harcourt
T-0423,Synthetic Talent 0423,Data Analyst,Mid,8.7,GCP,Abuja
T-0424,Synthetic Talent 0424,Data Engineer,Junior,5.8,Power BI,Remote
T-0425,Synthetic Talent 0425,Analytics Engineer,Junior,8.0,Power BI,Port Harcourt
T-0426,Synthetic Talent 0426,Analytics Engineer,Mid,4.1,Python,Remote
T-0427,Synthetic Talent 0427,ML Engineer,Junior,5.3,Power BI,Remote
T-0428,Synthetic Talent 0428,BI Developer,Mid,5.1,Python,Lagos
T-0429,Synthetic Talent 0429,BI Developer,Senior,2.8,Machine Learning,Abuja
T-0430,Synthetic Talent 0430,Data Analyst,Senior,7.6,SQL,Port Harcourt
T-0431,Synthetic Talent 0431,BI Developer,Senior,7.6,GCP,Accra
T-0432,Synthetic Talent 0432,Analytics Engineer,Mid,7.4,Databricks,Lagos
T-0433,Synthetic Talent 0433,Analytics Engineer,Lead,10.4,Machine Learning,Lagos
T-0434,Synthetic Talent 0434,Data Analyst,Senior,10.1,AWS,Accra
T-0435,Synthetic Talent 0435,Analytics Engineer,Mid,4.3,SQL,Accra
T-0436,Synthetic Talent 0436,AI Engineer,Mid,6.7,NLP,Lagos
T-0437,Synthetic Talent 0437,Analytics Engineer,Senior,3.5,SQL,Port Harcourt
T-0438,Synthetic Talent 0438,Data Analyst,Mid,5.6,GCP,Remote
T-0439,Synthetic Talent 0439,ML Engineer,Mid,3.6,GCP,Lagos
T-0440,Synthetic Talent 0440,BI Developer,Lead,10.7,Python,Abuja
T-0441,Synthetic Talent 0441,AI Engineer,Junior,6.7,Machine Learning,Abuja
T-0442,Synthetic Talent 0442,Data Analyst,Junior,4.8,Python,Remote
T-0443,Synthetic Talent 0443,BI Developer,Lead,9.3,Power BI,Abuja
T-0444,Synthetic Talent 0444,BI Developer,Senior,0.5,NLP,Port Harcourt
T-0445,Synthetic Talent 0445,Data Engineer,Mid,0.5,Databricks,Abuja
T-0446,Synthetic Talent 0446,AI Engineer,Lead,8.0,Power BI,Remote
T-0447,Synthetic Talent 0447,Data Scientist,Senior,5.7,Databricks,Lagos
T-0448,Synthetic Talent 0448,Analytics Engineer,Mid,6.3,Databricks,Abuja
T-0449,Synthetic Talent 0449,ML Engineer,Senior,1.3,Machine Learning,Abuja
T-0450,Synthetic Talent 0450,AI Engineer,Mid,5.4,Python,Accra
T-0451,Synthetic Talent 0451,BI Developer,Junior,11.9,Power BI,Accra
T-0452,Synthetic Talent 0452,AI Engineer,Senior,8.1,GCP,Port Harcourt
T-0453,Synthetic Talent 0453,BI Developer,Mid,6.0,Databricks,Lagos
T-0454,Synthetic Talent 0454,BI Developer,Senior,4.1,NLP,Remote
T-0455,Synthetic Talent 0455,Data Analyst,Senior,4.2,AWS,Port Harcourt
T-0456,Synthetic Talent 0456,Data Engineer,Junior,0.5,Power BI,Accra
T-0457,Synthetic Talent 0457,AI Engineer,Senior,6.3,Databricks,Abuja
T-0458,Synthetic Talent 0458,Analytics Engineer,Mid,8.2,Power BI,Accra
T-0459,Synthetic Talent 0459,Data Analyst,Senior,0.5,Spark,Accra
T-0460,Synthetic Talent 0460,Data Analyst,Mid,3.4,Databricks,Abuja
T-0461,Synthetic Talent 0461,ML Engineer,Senior,1.8,Azure,Remote
T-0462,Synthetic Talent 0462,Analytics Engineer,Senior,2.4,Power BI,Abuja
T-0463,Synthetic Talent 0463,Data Engineer,Mid,5.7,SQL,Abuja
T-0464,Synthetic Talent 0464,Data Engineer,Senior,0.5,AWS,Abuja
T-0465,Synthetic Talent 0465,Data Analyst,Senior,7.5,Databricks,Remote
T-0466,Synthetic Talent 0466,ML Engineer,Senior,7.9,AWS,Abuja
T-0467,Synthetic Talent 0467,Data Analyst,Senior,4.7,GCP,Remote
T-0468,Synthetic Talent 0468,Analytics Engineer,Lead,0.5,Power BI,Port Harcourt
T-0469,Synthetic Talent 0469,ML Engineer,Mid,2.3,Machine Learning,Remote
T-0470,Synthetic Talent 0470,ML Engineer,Mid,9.4,Machine Learning,Accra
T-0471,Synthetic Talent 0471,Analytics Engineer,Junior,0.5,GCP,Lagos
T-0472,Synthetic Talent 0472,ML Engineer,Senior,4.4,Machine Learning,Accra
T-0473,Synthetic Talent 0473,AI Engineer,Mid,1.7,Azure,Lagos
T-0474,Synthetic Talent 0474,AI Engineer,Mid,8.1,Spark,Port Harcourt
T-0475,Synthetic Talent 0475,BI Developer,Junior,3.3,Machine Learning,Abuja
T-0476,Synthetic Talent 0476,AI Engineer,Senior,6.8,NLP,Remote
T-0477,Synthetic Talent 0477,ML Engineer,Mid,7.3,NLP,Remote
T-0478,Synthetic Talent 0478,ML Engineer,Senior,11.4,Power BI,Accra
T-0479,Synthetic Talent 0479,Data Engineer,Mid,4.9,GCP,Port Harcourt
T-0480,Synthetic Talent 0480,Analytics Engineer,Lead,6.7,SQL,Accra
T-0481,Synthetic Talent 0481,Data Analyst,Mid,0.7,Azure,Abuja
T-0482,Synthetic Talent 0482,BI Developer,Mid,9.3,Azure,Abuja
T-0483,Synthetic Talent 0483,AI Engineer,Senior,3.1,Spark,Abuja
T-0484,Synthetic Talent 0484,Data Analyst,Lead,3.7,Databricks,Port Harcourt
T-0485,Synthetic Talent 0485,AI Engineer,Mid,5.4,NLP,Remote
T-0486,Synthetic Talent 0486,Data Analyst,Mid,0.5,SQL,Accra
T-0487,Synthetic Talent 0487,AI Engineer,Senior,6.2,Power BI,Abuja
T-0488,Synthetic Talent 0488,Data Analyst,Senior,8.6,Power BI,Abuja
T-0489,Synthetic Talent 0489,ML Engineer,Mid,6.4,NLP,Accra
T-0490,Synthetic Talent 0490,Analytics Engineer,Mid,0.5,Azure,Port Harcourt
T-0491,Synthetic Talent 0491,AI Engineer,Senior,5.1,Machine Learning,Abuja
T-0492,Synthetic Talent 0492,Data Scientist,Senior,7.9,NLP,Accra
T-0493,Synthetic Talent 0493,BI Developer,Senior,0.5,Machine Learning,Port Harcourt
T-0494,Synthetic Talent 0494,AI Engineer,Senior,2.1,SQL,Accra
T-0495,Synthetic Talent 0495,Data Engineer,Junior,8.3,Python,Accra
T-0496,Synthetic Talent 0496,Analytics Engineer,Lead,6.4,Spark,Accra
T-0497,Synthetic Talent 0497,AI Engineer,Senior,6.8,Spark,Port Harcourt
T-0498,Synthetic Talent 0498,Data Scientist,Senior,11.5,Machine Learning,Remote
T-0499,Synthetic Talent 0499,AI Engineer,Junior,7.0,Python,Accra
T-0500,Synthetic Talent 0500,BI Developer,Mid,7.6,Spark,Abuja
