engagement_id,as_of_date,top_drivers,top_driver_detail
ENG-00341,2025-10-01,Client feedback | Performance | Sentiment,Client feedback (+1.87) | Performance (+1.26) | Sentiment (+0.25)
ENG-00342,2025-10-01,No material driver detected,
ENG-00342,2025-11-01,No material driver detected,
ENG-00342,2025-12-01,No material driver detected,
ENG-00342,2026-01-01,No material driver detected,
ENG-00342,2026-02-01,Client feedback | Sentiment | Utilisation,Client feedback (+2.08) | Sentiment (+0.67) | Utilisation (+0.21)
ENG-00342,2026-03-01,No material driver detected,
ENG-00342,2026-04-01,No material driver detected,
ENG-00342,2026-05-01,No material driver detected,
ENG-00342,2026-06-01,No material driver detected,
ENG-00342,2026-07-01,No material driver detected,
ENG-00342,2026-08-01,No material driver detected,
ENG-00343,2025-02-01,No material driver detected,
ENG-00343,2025-03-01,No material driver detected,
ENG-00343,2025-04-01,No material driver detected,
ENG-00343,2025-05-01,No material driver detected,
ENG-00343,2025-06-01,No material driver detected,
ENG-00343,2025-07-01,No material driver detected,
ENG-00343,2025-08-01,No material driver detected,
ENG-00344,2025-08-01,No material driver detected,
ENG-00344,2025-09-01,Performance | Client feedback | Role profile,Performance (+1.22) | Client feedback (+1.13) | Role profile (+0.35)
ENG-00344,2025-10-01,Performance | Sentiment | Role profile,Performance (+2.58) | Sentiment (+1.03) | Role profile (+0.35)
ENG-00344,2025-11-01,Sentiment | Client feedback | Performance,Sentiment (+2.28) | Client feedback (+1.91) | Performance (+1.71)
ENG-00344,2025-12-01,Client feedback | Performance | Sentiment,Client feedback (+2.66) | Performance (+2.30) | Sentiment (+1.37)
ENG-00345,2025-02-01,No material driver detected,
ENG-00345,2025-03-01,No material driver detected,
ENG-00345,2025-04-01,Performance | Client feedback | Sentiment,Performance (+0.64) | Client feedback (+0.49) | Sentiment (+0.36)
ENG-00345,2025-05-01,No material driver detected,
ENG-00345,2025-06-01,No material driver detected,
ENG-00345,2025-07-01,No material driver detected,
ENG-00345,2025-08-01,No material driver detected,
ENG-00345,2025-09-01,No material driver detected,
ENG-00345,2025-10-01,No material driver detected,
ENG-00345,2025-11-01,No material driver detected,
ENG-00346,2025-09-01,No material driver detected,
ENG-00346,2025-10-01,Performance | Client feedback,Performance (+2.04) | Client feedback (+0.67)
ENG-00346,2025-11-01,Performance | Milestone delivery | Client feedback,Performance (+0.85) | Milestone delivery (+0.52) | Client feedback (+0.40)
ENG-00346,2025-12-01,No material driver detected,
ENG-00346,2026-01-01,No material driver detected,
ENG-00346,2026-02-01,No material driver detected,
ENG-00346,2026-03-01,No material driver detected,
ENG-00346,2026-04-01,Sentiment | Client feedback | Performance,Sentiment (+2.06) | Client feedback (+1.16) | Performance (+0.57)
ENG-00346,2026-05-01,Client feedback | Sentiment | Performance,Client feedback (+2.02) | Sentiment (+1.06) | Performance (+0.59)
ENG-00346,2026-06-01,Performance | Sentiment | Client feedback,Performance (+2.88) | Sentiment (+2.48) | Client feedback (+1.70)
ENG-00346,2026-07-01,Client feedback | Performance | Sentiment,Client feedback (+3.56) | Performance (+2.09) | Sentiment (+1.58)
ENG-00347,2026-04-01,No material driver detected,
ENG-00347,2026-05-01,Client feedback | Performance,Client feedback (+1.37) | Performance (+1.18)
ENG-00347,2026-06-01,No material driver detected,
ENG-00347,2026-07-01,No material driver detected,
ENG-00347,2026-08-01,No material driver detected,
ENG-00348,2024-04-01,No material driver detected,
ENG-00348,2024-05-01,No material driver detected,
ENG-00348,2024-06-01,No material driver detected,
ENG-00348,2024-07-01,No material driver detected,
ENG-00348,2024-08-01,No material driver detected,
ENG-00348,2024-09-01,No material driver detected,
ENG-00348,2024-10-01,No material driver detected,
ENG-00348,2024-11-01,No material driver detected,
ENG-00349,2025-11-01,No material driver detected,
ENG-00349,2025-12-01,No material driver detected,
ENG-00349,2026-01-01,No material driver detected,
ENG-00349,2026-02-01,No material driver detected,
ENG-00349,2026-03-01,No material driver detected,
ENG-00349,2026-04-01,No material driver detected,
ENG-00349,2026-05-01,No material driver detected,
ENG-00349,2026-06-01,No material driver detected,
ENG-00349,2026-07-01,No material driver detected,
ENG-00349,2026-08-01,No material driver detected,
ENG-00350,2025-11-01,No material driver detected,
ENG-00350,2025-12-01,No material driver detected,
ENG-00350,2026-01-01,No material driver detected,
ENG-00350,2026-02-01,No material driver detected,
ENG-00350,2026-03-01,No material driver detected,
ENG-00350,2026-04-01,No material driver detected,
ENG-00350,2026-05-01,No material driver detected,
ENG-00350,2026-06-01,No material driver detected,
ENG-00350,2026-07-01,No material driver detected,
ENG-00350,2026-08-01,No material driver detected,
ENG-00351,2025-02-01,No material driver detected,
ENG-00351,2025-03-01,No material driver detected,
ENG-00351,2025-04-01,No material driver detected,
ENG-00351,2025-05-01,No material driver detected,
ENG-00351,2025-06-01,No material driver detected,
ENG-00351,2025-07-01,Client feedback | Sentiment | Performance,Client feedback (+0.42) | Sentiment (+0.42) | Performance (+0.42)
ENG-00351,2025-08-01,No material driver detected,
ENG-00351,2025-09-01,Performance | Milestone delivery | Role profile,Performance (+2.47) | Milestone delivery (+0.29) | Role profile (+0.26)
ENG-00352,2026-07-01,No material driver detected,
ENG-00352,2026-08-01,No material driver detected,
ENG-00353,2024-11-01,Performance | Sentiment | Contract stage,Performance (+1.22) | Sentiment (+0.79) | Contract stage (+0.41)
ENG-00353,2024-12-01,Client feedback | Milestone delivery | Role profile,Client feedback (+1.70) | Milestone delivery (+0.54) | Role profile (+0.35)
ENG-00353,2025-01-01,Sentiment | Performance | Client feedback,Sentiment (+1.69) | Performance (+1.61) | Client feedback (+0.37)
ENG-00353,2025-02-01,No material driver detected,
ENG-00353,2025-03-01,Client feedback | Performance | Role profile,Client feedback (+1.63) | Performance (+0.48) | Role profile (+0.35)
ENG-00353,2025-04-01,Client feedback | Performance | Milestone delivery,Client feedback (+0.94) | Performance (+0.92) | Milestone delivery (+0.58)
ENG-00353,2025-05-01,No material driver detected,
ENG-00353,2025-06-01,Client feedback | Sentiment | Performance,Client feedback (+2.43) | Sentiment (+1.28) | Performance (+1.03)
ENG-00353,2025-07-01,No material driver detected,
ENG-00354,2025-01-01,No material driver detected,
ENG-00354,2025-02-01,No material driver detected,
ENG-00354,2025-03-01,No material driver detected,
ENG-00354,2025-04-01,No material driver detected,
ENG-00354,2025-05-01,No material driver detected,
ENG-00354,2025-06-01,No material driver detected,
ENG-00354,2025-07-01,No material driver detected,
ENG-00354,2025-08-01,No material driver detected,
ENG-00354,2025-09-01,No material driver detected,
ENG-00354,2025-10-01,No material driver detected,
ENG-00355,2026-06-01,No material driver detected,
ENG-00355,2026-07-01,No material driver detected,
ENG-00355,2026-08-01,No material driver detected,
ENG-00356,2025-07-01,No material driver detected,
ENG-00356,2025-08-01,No material driver detected,
ENG-00356,2025-09-01,No material driver detected,
ENG-00356,2025-10-01,No material driver detected,
ENG-00356,2025-11-01,No material driver detected,
ENG-00356,2025-12-01,No material driver detected,
ENG-00356,2026-01-01,No material driver detected,
ENG-00356,2026-02-01,No material driver detected,
ENG-00356,2026-03-01,No material driver detected,
ENG-00356,2026-04-01,No material driver detected,
ENG-00356,2026-05-01,No material driver detected,
ENG-00357,2024-12-01,No material driver detected,
ENG-00357,2025-01-01,No material driver detected,
ENG-00357,2025-02-01,No material driver detected,
ENG-00357,2025-03-01,Performance | Milestone delivery | Contract stage,Performance (+2.54) | Milestone delivery (+0.40) | Contract stage (+0.30)
ENG-00357,2025-04-01,No material driver detected,
ENG-00357,2025-05-01,No material driver detected,
ENG-00357,2025-06-01,No material driver detected,
ENG-00358,2025-04-01,No material driver detected,
ENG-00358,2025-05-01,Performance | Contract stage | Role profile,Performance (+2.04) | Contract stage (+0.27) | Role profile (+0.26)
ENG-00358,2025-06-01,No material driver detected,
ENG-00358,2025-07-01,No material driver detected,
ENG-00358,2025-08-01,No material driver detected,
ENG-00358,2025-09-01,Client feedback | Role profile | Milestone delivery,Client feedback (+1.46) | Role profile (+0.26) | Milestone delivery (+0.25)
ENG-00358,2025-10-01,No material driver detected,
ENG-00358,2025-11-01,No material driver detected,
ENG-00358,2025-12-01,No material driver detected,
ENG-00358,2026-01-01,No material driver detected,
ENG-00359,2025-05-01,No material driver detected,
ENG-00359,2025-06-01,Client feedback | Sentiment | Contract stage,Client feedback (+1.39) | Sentiment (+1.32) | Contract stage (+0.46)
ENG-00359,2025-07-01,Performance | Client feedback | Contract stage,Performance (+1.34) | Client feedback (+0.59) | Contract stage (+0.38)
ENG-00359,2025-08-01,No material driver detected,
ENG-00359,2025-09-01,Client feedback | Performance | Sentiment,Client feedback (+1.96) | Performance (+1.06) | Sentiment (+0.92)
ENG-00359,2025-10-01,No material driver detected,
ENG-00359,2025-11-01,Performance | Sentiment,Performance (+1.54) | Sentiment (+1.47)
ENG-00360,2024-03-01,No material driver detected,
ENG-00360,2024-04-01,No material driver detected,
ENG-00360,2024-05-01,No material driver detected,
ENG-00360,2024-06-01,No material driver detected,
ENG-00360,2024-07-01,No material driver detected,
ENG-00360,2024-08-01,No material driver detected,
ENG-00360,2024-09-01,No material driver detected,
ENG-00360,2024-10-01,No material driver detected,
ENG-00360,2024-11-01,No material driver detected,
ENG-00360,2024-12-01,No material driver detected,
ENG-00360,2025-01-01,No material driver detected,
ENG-00361,2024-04-01,No material driver detected,
ENG-00361,2024-05-01,No material driver detected,
ENG-00361,2024-06-01,No material driver detected,
ENG-00361,2024-07-01,No material driver detected,
ENG-00361,2024-08-01,No material driver detected,
ENG-00361,2024-09-01,Client feedback | Performance | Role profile,Client feedback (+1.03) | Performance (+1.01) | Role profile (+0.26)
ENG-00361,2024-10-01,No material driver detected,
ENG-00361,2024-11-01,No material driver detected,
ENG-00361,2024-12-01,No material driver detected,
ENG-00361,2025-01-01,No material driver detected,
ENG-00361,2025-02-01,No material driver detected,
ENG-00362,2025-01-01,No material driver detected,
ENG-00362,2025-02-01,Client feedback | Sentiment | Contract stage,Client feedback (+1.44) | Sentiment (+0.54) | Contract stage (+0.46)
ENG-00362,2025-03-01,Client feedback | Sentiment | Performance,Client feedback (+1.80) | Sentiment (+0.94) | Performance (+0.86)
ENG-00362,2025-04-01,Client feedback | Performance | Sentiment,Client feedback (+3.36) | Performance (+2.83) | Sentiment (+1.39)
ENG-00363,2024-03-01,No material driver detected,
ENG-00363,2024-04-01,No material driver detected,
ENG-00363,2024-05-01,No material driver detected,
ENG-00363,2024-06-01,No material driver detected,
ENG-00363,2024-07-01,No material driver detected,
ENG-00363,2024-08-01,No material driver detected,
ENG-00363,2024-09-01,No material driver detected,
ENG-00363,2024-10-01,Sentiment | Client feedback | Role profile,Sentiment (+1.01) | Client feedback (+0.74) | Role profile (+0.26)
ENG-00364,2026-05-01,Performance | Client feedback | Sentiment,Performance (+1.37) | Client feedback (+1.02) | Sentiment (+0.68)
ENG-00364,2026-06-01,Client feedback | Sentiment | Performance,Client feedback (+2.18) | Sentiment (+1.61) | Performance (+1.08)
ENG-00364,2026-07-01,Performance | Client feedback | Sentiment,Performance (+2.99) | Client feedback (+2.22) | Sentiment (+0.91)
ENG-00364,2026-08-01,Client feedback | Performance | Sentiment,Client feedback (+2.82) | Performance (+1.79) | Sentiment (+1.55)
ENG-00364,2026-09-01,Sentiment | Client feedback | Performance,Sentiment (+3.56) | Client feedback (+3.31) | Performance (+1.45)
ENG-00364,2026-10-01,Performance | Client feedback | Sentiment,Performance (+4.15) | Client feedback (+3.05) | Sentiment (+1.04)
ENG-00365,2026-08-01,No material driver detected,
ENG-00366,2025-10-01,No material driver detected,
ENG-00366,2025-11-01,No material driver detected,
ENG-00366,2025-12-01,No material driver detected,
ENG-00366,2026-01-01,No material driver detected,
ENG-00366,2026-02-01,No material driver detected,
ENG-00366,2026-03-01,No material driver detected,
ENG-00366,2026-04-01,Client feedback | Performance | Sentiment,Client feedback (+2.52) | Performance (+1.28) | Sentiment (+0.61)
ENG-00366,2026-05-01,Client feedback | Performance | Milestone delivery,Client feedback (+3.51) | Performance (+0.67) | Milestone delivery (+0.66)
ENG-00366,2026-06-01,Sentiment | Performance,Sentiment (+2.34) | Performance (+1.96)
ENG-00366,2026-07-01,Client feedback | Sentiment | Performance,Client feedback (+3.25) | Sentiment (+2.60) | Performance (+1.62)
ENG-00367,2025-12-01,No material driver detected,
ENG-00367,2026-01-01,No material driver detected,
ENG-00367,2026-02-01,No material driver detected,
ENG-00367,2026-03-01,No material driver detected,
ENG-00367,2026-04-01,No material driver detected,
ENG-00367,2026-05-01,No material driver detected,
ENG-00367,2026-06-01,No material driver detected,
ENG-00367,2026-07-01,Client feedback | Performance | Sentiment,Client feedback (+1.42) | Performance (+0.66) | Sentiment (+0.38)
ENG-00367,2026-08-01,No material driver detected,
ENG-00368,2024-09-01,No material driver detected,
ENG-00368,2024-10-01,No material driver detected,
ENG-00368,2024-11-01,No material driver detected,
ENG-00368,2024-12-01,No material driver detected,
ENG-00368,2025-01-01,No material driver detected,
ENG-00368,2025-02-01,No material driver detected,
ENG-00368,2025-03-01,No material driver detected,
ENG-00368,2025-04-01,No material driver detected,
ENG-00368,2025-05-01,No material driver detected,
ENG-00369,2025-12-01,No material driver detected,
ENG-00369,2026-01-01,No material driver detected,
ENG-00369,2026-02-01,No material driver detected,
ENG-00369,2026-03-01,No material driver detected,
ENG-00369,2026-04-01,No material driver detected,
ENG-00369,2026-05-01,No material driver detected,
ENG-00369,2026-06-01,No material driver detected,
ENG-00369,2026-07-01,No material driver detected,
ENG-00369,2026-08-01,No material driver detected,
ENG-00370,2025-09-01,No material driver detected,
ENG-00370,2025-10-01,No material driver detected,
ENG-00370,2025-11-01,No material driver detected,
ENG-00370,2025-12-01,No material driver detected,
ENG-00370,2026-01-01,No material driver detected,
ENG-00370,2026-02-01,Performance | Sentiment | Client feedback,Performance (+0.51) | Sentiment (+0.50) | Client feedback (+0.45)
ENG-00370,2026-03-01,No material driver detected,
ENG-00370,2026-04-01,No material driver detected,
ENG-00370,2026-05-01,No material driver detected,
ENG-00371,2026-04-01,No material driver detected,
ENG-00371,2026-05-01,No material driver detected,
ENG-00371,2026-06-01,No material driver detected,
ENG-00371,2026-07-01,Performance | Client feedback | Role profile,Performance (+1.52) | Client feedback (+1.19) | Role profile (+0.35)
ENG-00371,2026-08-01,No material driver detected,
ENG-00372,2024-07-01,Sentiment | Client feedback | Contract stage,Sentiment (+0.49) | Client feedback (+0.39) | Contract stage (+0.29)
ENG-00372,2024-08-01,No material driver detected,
ENG-00372,2024-09-01,No material driver detected,
ENG-00372,2024-10-01,No material driver detected,
ENG-00372,2024-11-01,Performance | Sentiment | Client feedback,Performance (+1.28) | Sentiment (+1.13) | Client feedback (+0.61)
ENG-00372,2024-12-01,No material driver detected,
ENG-00372,2025-01-01,No material driver detected,
ENG-00372,2025-02-01,No material driver detected,
ENG-00372,2025-03-01,No material driver detected,
ENG-00372,2025-04-01,No material driver detected,
ENG-00372,2025-05-01,No material driver detected,
ENG-00373,2026-04-01,No material driver detected,
ENG-00373,2026-05-01,No material driver detected,
ENG-00373,2026-06-01,No material driver detected,
ENG-00373,2026-07-01,Performance | Role profile | Contract stage,Performance (+1.18) | Role profile (+0.25) | Contract stage (+0.24)
ENG-00373,2026-08-01,No material driver detected,
ENG-00374,2026-02-01,No material driver detected,
ENG-00374,2026-03-01,No material driver detected,
ENG-00374,2026-04-01,No material driver detected,
ENG-00374,2026-05-01,No material driver detected,
ENG-00374,2026-06-01,No material driver detected,
ENG-00374,2026-07-01,No material driver detected,
ENG-00374,2026-08-01,No material driver detected,
ENG-00375,2026-05-01,No material driver detected,
ENG-00375,2026-06-01,No material driver detected,
ENG-00375,2026-07-01,No material driver detected,
ENG-00375,2026-08-01,Performance | Sentiment | Client feedback,Performance (+1.85) | Sentiment (+0.61) | Client feedback (+0.56)
ENG-00376,2024-06-01,Sentiment | Client feedback | Performance,Sentiment (+0.89) | Client feedback (+0.45) | Performance (+0.45)
ENG-00376,2024-07-01,Sentiment | Client feedback | Performance,Sentiment (+1.77) | Client feedback (+0.30) | Performance (+0.20)
ENG-00376,2024-08-01,Performance | Client feedback,Performance (+3.08) | Client feedback (+2.41)
ENG-00376,2024-09-01,Client feedback | Sentiment | Performance,Client feedback (+2.32) | Sentiment (+1.68) | Performance (+1.67)
ENG-00376,2024-10-01,Client feedback | Performance | Sentiment,Client feedback (+2.32) | Performance (+2.09) | Sentiment (+1.96)
ENG-00377,2025-11-01,Client feedback | Performance | Sentiment,Client feedback (+1.27) | Performance (+1.22) | Sentiment (+0.92)
ENG-00377,2025-12-01,No material driver detected,
ENG-00377,2026-01-01,Sentiment | Milestone delivery | Client feedback,Sentiment (+1.23) | Milestone delivery (+0.66) | Client feedback (+0.43)
ENG-00377,2026-02-01,Performance | Client feedback | Sentiment,Performance (+1.37) | Client feedback (+1.24) | Sentiment (+0.79)
ENG-00377,2026-03-01,No material driver detected,
ENG-00377,2026-04-01,Client feedback | Performance | Milestone delivery,Client feedback (+1.78) | Performance (+0.74) | Milestone delivery (+0.57)
ENG-00377,2026-05-01,Client feedback | Performance | Sentiment,Client feedback (+1.23) | Performance (+1.17) | Sentiment (+0.35)
ENG-00377,2026-06-01,No material driver detected,
ENG-00378,2024-10-01,No material driver detected,
ENG-00378,2024-11-01,No material driver detected,
ENG-00378,2024-12-01,No material driver detected,
ENG-00378,2025-01-01,No material driver detected,
ENG-00378,2025-02-01,No material driver detected,
ENG-00378,2025-03-01,No material driver detected,
ENG-00378,2025-04-01,No material driver detected,
ENG-00378,2025-05-01,No material driver detected,
ENG-00379,2026-06-01,No material driver detected,
ENG-00379,2026-07-01,No material driver detected,
ENG-00379,2026-08-01,Performance | Milestone delivery | Client feedback,Performance (+1.39) | Milestone delivery (+0.64) | Client feedback (+0.30)
ENG-00380,2025-05-01,No material driver detected,
ENG-00380,2025-06-01,No material driver detected,
ENG-00380,2025-07-01,No material driver detected,
ENG-00380,2025-08-01,No material driver detected,
ENG-00380,2025-09-01,No material driver detected,
ENG-00380,2025-10-01,No material driver detected,
ENG-00380,2025-11-01,No material driver detected,
ENG-00380,2025-12-01,No material driver detected,
ENG-00380,2026-01-01,No material driver detected,
ENG-00380,2026-02-01,No material driver detected,
ENG-00380,2026-03-01,No material driver detected,
ENG-00381,2024-07-01,No material driver detected,
ENG-00381,2024-08-01,No material driver detected,
ENG-00381,2024-09-01,No material driver detected,
ENG-00381,2024-10-01,Performance | Client feedback | Contract stage,Performance (+1.07) | Client feedback (+0.79) | Contract stage (+0.30)
ENG-00381,2024-11-01,No material driver detected,
ENG-00381,2024-12-01,No material driver detected,
ENG-00381,2025-01-01,Performance | Sentiment | Milestone delivery,Performance (+2.11) | Sentiment (+0.35) | Milestone delivery (+0.29)
ENG-00382,2024-06-01,No material driver detected,
ENG-00382,2024-07-01,No material driver detected,
ENG-00382,2024-08-01,No material driver detected,
ENG-00382,2024-09-01,No material driver detected,
ENG-00382,2024-10-01,No material driver detected,
ENG-00382,2024-11-01,No material driver detected,
ENG-00382,2024-12-01,No material driver detected,
ENG-00382,2025-01-01,No material driver detected,
ENG-00382,2025-02-01,No material driver detected,
ENG-00382,2025-03-01,No material driver detected,
ENG-00382,2025-04-01,No material driver detected,
ENG-00382,2025-05-01,No material driver detected,
ENG-00382,2025-06-01,No material driver detected,
ENG-00383,2025-12-01,Client feedback | Performance | Sentiment,Client feedback (+1.61) | Performance (+1.49) | Sentiment (+1.34)
ENG-00383,2026-01-01,Client feedback | Sentiment | Performance,Client feedback (+2.25) | Sentiment (+1.88) | Performance (+1.69)
ENG-00383,2026-02-01,No material driver detected,
ENG-00383,2026-03-01,Performance | Client feedback | Sentiment,Performance (+3.65) | Client feedback (+2.15) | Sentiment (+1.13)
ENG-00383,2026-04-01,Client feedback | Sentiment | Milestone delivery,Client feedback (+2.09) | Sentiment (+1.13) | Milestone delivery (+0.57)
ENG-00383,2026-05-01,Performance | Sentiment,Performance (+1.79) | Sentiment (+0.68)
ENG-00383,2026-06-01,Performance | Client feedback | Sentiment,Performance (+2.80) | Client feedback (+2.28) | Sentiment (+1.13)
ENG-00383,2026-07-01,No material driver detected,
ENG-00383,2026-08-01,Performance | Client feedback | Sentiment,Performance (+2.02) | Client feedback (+1.65) | Sentiment (+1.55)
ENG-00384,2026-03-01,No material driver detected,
ENG-00384,2026-04-01,No material driver detected,
ENG-00384,2026-05-01,No material driver detected,
ENG-00384,2026-06-01,No material driver detected,
ENG-00384,2026-07-01,No material driver detected,
ENG-00384,2026-08-01,No material driver detected,
ENG-00385,2024-09-01,No material driver detected,
ENG-00385,2024-10-01,No material driver detected,
ENG-00385,2024-11-01,No material driver detected,
ENG-00385,2024-12-01,Client feedback | Sentiment | Utilisation,Client feedback (+1.86) | Sentiment (+1.79) | Utilisation (+0.18)
ENG-00385,2025-01-01,Client feedback | Performance | Sentiment,Client feedback (+2.03) | Performance (+1.59) | Sentiment (+0.78)
ENG-00385,2025-02-01,Sentiment | Performance | Client feedback,Sentiment (+0.73) | Performance (+0.64) | Client feedback (+0.53)
ENG-00385,2025-03-01,Client feedback | Performance | Sentiment,Client feedback (+2.36) | Performance (+2.20) | Sentiment (+0.66)
ENG-00386,2025-12-01,No material driver detected,
ENG-00386,2026-01-01,No material driver detected,
ENG-00386,2026-02-01,No material driver detected,
ENG-00386,2026-03-01,No material driver detected,
ENG-00386,2026-04-01,No material driver detected,
ENG-00386,2026-05-01,No material driver detected,
ENG-00386,2026-06-01,No material driver detected,
ENG-00386,2026-07-01,No material driver detected,
ENG-00386,2026-08-01,No material driver detected,
ENG-00387,2026-04-01,No material driver detected,
ENG-00387,2026-05-01,No material driver detected,
ENG-00387,2026-06-01,No material driver detected,
ENG-00387,2026-07-01,No material driver detected,
ENG-00387,2026-08-01,No material driver detected,
ENG-00388,2024-03-01,No material driver detected,
ENG-00388,2024-04-01,No material driver detected,
ENG-00388,2024-05-01,No material driver detected,
ENG-00388,2024-06-01,Client feedback | Sentiment | Performance,Client feedback (+3.65) | Sentiment (+0.85) | Performance (+0.66)
ENG-00388,2024-07-01,Performance | Client feedback | Role profile,Performance (+1.15) | Client feedback (+0.74) | Role profile (+0.26)
ENG-00388,2024-08-01,Performance | Sentiment | Client feedback,Performance (+1.79) | Sentiment (+1.15) | Client feedback (+0.57)
ENG-00389,2024-08-01,No material driver detected,
ENG-00389,2024-09-01,Performance | Sentiment | Client feedback,Performance (+1.64) | Sentiment (+0.89) | Client feedback (+0.40)
ENG-00389,2024-10-01,Performance | Client feedback | Milestone delivery,Performance (+1.58) | Client feedback (+0.98) | Milestone delivery (+0.74)
ENG-00389,2024-11-01,Client feedback | Sentiment | Performance,Client feedback (+3.71) | Sentiment (+2.23) | Performance (+0.88)
ENG-00389,2024-12-01,Performance | Client feedback | Sentiment,Performance (+4.46) | Client feedback (+3.58) | Sentiment (+1.68)
ENG-00390,2024-01-01,No material driver detected,
ENG-00390,2024-02-01,Client feedback | Milestone delivery | Contract stage,Client feedback (+2.52) | Milestone delivery (+0.51) | Contract stage (+0.46)
ENG-00390,2024-03-01,Performance | Client feedback | Sentiment,Performance (+2.79) | Client feedback (+2.13) | Sentiment (+1.25)
ENG-00390,2024-04-01,Sentiment | Performance | Client feedback,Sentiment (+2.51) | Performance (+2.30) | Client feedback (+1.90)
ENG-00391,2024-10-01,No material driver detected,
ENG-00391,2024-11-01,No material driver detected,
ENG-00391,2024-12-01,No material driver detected,
ENG-00391,2025-01-01,No material driver detected,
ENG-00391,2025-02-01,No material driver detected,
ENG-00391,2025-03-01,No material driver detected,
ENG-00391,2025-04-01,No material driver detected,
ENG-00391,2025-05-01,No material driver detected,
ENG-00391,2025-06-01,No material driver detected,
ENG-00391,2025-07-01,No material driver detected,
ENG-00391,2025-08-01,No material driver detected,
ENG-00391,2025-09-01,No material driver detected,
ENG-00392,2024-08-01,No material driver detected,
ENG-00392,2024-09-01,No material driver detected,
ENG-00392,2024-10-01,No material driver detected,
ENG-00392,2024-11-01,No material driver detected,
ENG-00392,2024-12-01,No material driver detected,
ENG-00392,2025-01-01,No material driver detected,
ENG-00392,2025-02-01,No material driver detected,
ENG-00392,2025-03-01,No material driver detected,
ENG-00392,2025-04-01,No material driver detected,
ENG-00392,2025-05-01,No material driver detected,
ENG-00392,2025-06-01,No material driver detected,
ENG-00392,2025-07-01,No material driver detected,
ENG-00393,2026-06-01,Performance | Client feedback | Sentiment,Performance (+1.19) | Client feedback (+1.12) | Sentiment (+0.83)
ENG-00393,2026-07-01,Client feedback | Performance | Sentiment,Client feedback (+3.71) | Performance (+3.48) | Sentiment (+1.91)
ENG-00393,2026-08-01,Sentiment | Performance | Milestone delivery,Sentiment (+2.16) | Performance (+1.86) | Milestone delivery (+0.76)
ENG-00393,2026-09-01,Client feedback | Performance | Sentiment,Client feedback (+3.39) | Performance (+3.15) | Sentiment (+2.09)
ENG-00394,2025-09-01,No material driver detected,
ENG-00394,2025-10-01,Sentiment | Performance | Client feedback,Sentiment (+1.89) | Performance (+1.44) | Client feedback (+0.98)
ENG-00394,2025-11-01,Sentiment | Client feedback | Performance,Sentiment (+2.33) | Client feedback (+1.55) | Performance (+1.00)
ENG-00394,2025-12-01,Client feedback | Sentiment | Performance,Client feedback (+4.41) | Sentiment (+3.58) | Performance (+1.36)
ENG-00395,2026-07-01,No material driver detected,
ENG-00395,2026-08-01,No material driver detected,
ENG-00396,2026-06-01,No material driver detected,
ENG-00396,2026-07-01,No material driver detected,
ENG-00396,2026-08-01,No material driver detected,
ENG-00396,2026-09-01,No material driver detected,
ENG-00396,2026-10-01,No material driver detected,
ENG-00396,2026-11-01,Client feedback | Milestone delivery | Sentiment,Client feedback (+0.92) | Milestone delivery (+0.69) | Sentiment (+0.56)
ENG-00396,2026-12-01,No material driver detected,
ENG-00396,2027-01-01,Sentiment | Client feedback | Performance,Sentiment (+1.22) | Client feedback (+1.13) | Performance (+0.88)
ENG-00396,2027-02-01,Client feedback | Performance | Sentiment,Client feedback (+2.79) | Performance (+1.77) | Sentiment (+0.77)
ENG-00397,2024-12-01,No material driver detected,
ENG-00397,2025-01-01,Client feedback | Performance,Client feedback (+1.13) | Performance (+0.55)
ENG-00397,2025-02-01,No material driver detected,
ENG-00397,2025-03-01,Client feedback | Performance,Client feedback (+1.38) | Performance (+0.41)
ENG-00397,2025-04-01,Performance | Client feedback | Utilisation,Performance (+1.10) | Client feedback (+1.07) | Utilisation (+0.19)
ENG-00397,2025-05-01,Sentiment | Performance | Client feedback,Sentiment (+1.51) | Performance (+1.19) | Client feedback (+0.60)
ENG-00397,2025-06-01,Client feedback | Sentiment | Performance,Client feedback (+3.22) | Sentiment (+2.36) | Performance (+0.96)
ENG-00397,2025-07-01,Performance | Client feedback | Sentiment,Performance (+3.55) | Client feedback (+2.01) | Sentiment (+1.50)
ENG-00398,2024-02-01,No material driver detected,
ENG-00398,2024-03-01,Performance | Milestone delivery | Sentiment,Performance (+1.42) | Milestone delivery (+0.82) | Sentiment (+0.69)
ENG-00398,2024-04-01,Client feedback | Sentiment | Performance,Client feedback (+2.03) | Sentiment (+1.60) | Performance (+1.26)
ENG-00398,2024-05-01,Client feedback | Sentiment | Performance,Client feedback (+4.67) | Sentiment (+2.18) | Performance (+2.07)
ENG-00398,2024-06-01,Performance | Client feedback | Sentiment,Performance (+3.97) | Client feedback (+2.90) | Sentiment (+2.14)
ENG-00399,2025-07-01,No material driver detected,
ENG-00399,2025-08-01,Performance | Role profile | Milestone delivery,Performance (+1.18) | Role profile (+0.35) | Milestone delivery (+0.28)
ENG-00399,2025-09-01,No material driver detected,
ENG-00399,2025-10-01,No material driver detected,
ENG-00399,2025-11-01,Performance | Role profile | Sentiment,Performance (+1.06) | Role profile (+0.35) | Sentiment (+0.33)
ENG-00399,2025-12-01,No material driver detected,
ENG-00399,2026-01-01,No material driver detected,
